Extension Report for: /home/nitish/mnt/4tb
Total Files: 362782
----------------------------------------
Extension            | Count     
----------------------------------------
.jpg                 | 119174    
<no_extension>       | 34213     
.mp4                 | 19310     
.py                  | 17112     
.pyc                 | 12351     
.mp3                 | 10944     
.yaml                | 10672     
.htm                 | 10038     
.svg                 | 9256      
.png                 | 9148      
.go                  | 8240      
.txt                 | 6101      
.pdf                 | 4986      
.php                 | 4908      
.js                  | 4819      
.srt                 | 4455      
.gif                 | 3873      
.html                | 3474      
.jsonnet             | 2741      
.flac                | 2623      
.mo                  | 2520      
.css                 | 2458      
.po                  | 2379      
.md                  | 2245      
.mov                 | 2238      
.mobi                | 1992      
.sample              | 1967      
.libsonnet           | 1854      
.java                | 1795      
.dll                 | 1768      
.ttf                 | 1696      
.pyi                 | 1618      
.zip                 | 1396      
.json                | 1246      
.jar                 | 1233      
.download            | 1112      
.svn-base            | 1102      
.scala               | 1022      
.c                   | 984       
.sh                  | 937       
.ri                  | 912       
.ocr                 | 882       
.log                 | 833       
.exe                 | 818       
.inf                 | 805       
.mkv                 | 799       
.m4a                 | 781       
.deletemarker        | 768       
.ini                 | 723       
.yml                 | 656       
.xml                 | 640       
.cat                 | 606       
.vtt                 | 588       
.cab                 | 584       
.env                 | 570       
.jpeg                | 540       
.webp                | 522       
.via                 | 482       
.mui                 | 476       
.3gp                 | 466       
.sys                 | 445       
.scss                | 442       
.ts                  | 419       
.zsh                 | 379       
.bmp                 | 338       
.rar                 | 333       
.flv                 | 283       
.pak                 | 274       
.webm                | 257       
.docx                | 242       
.rb                  | 229       
.sdi                 | 226       
.csv                 | 225       
.thm                 | 223       
.epub                | 215       
.h                   | 207       
.otf                 | 200       
.vp                  | 200       
.properties          | 197       
.resources           | 196       
.avi                 | 192       
.ovpn                | 174       
.so                  | 173       
.cs                  | 170       
.db                  | 167       
.pfm                 | 159       
.pfb                 | 157       
.lrc                 | 155       
.r                   | 153       
.idx                 | 152       
.pem                 | 151       
.zsh-theme           | 148       
.pack                | 145       
.dtd                 | 144       
.xpt                 | 141       
.ibd                 | 140       
.opa                 | 135       
.xul                 | 135       
.gz                  | 127       
.doc                 | 127       
.xlsx                | 126       
.din                 | 123       
.bk2                 | 120       
.dat                 | 117       
.ppt                 | 114       
.url                 | 112       
.m4v                 | 111       
.dng                 | 107       
.conf                | 106       
.mst                 | 106       
.f4v                 | 101       
.data                | 100       
.proto               | 100       
.heic                | 99        
.rtf                 | 98        
.ogg                 | 95        
.chm                 | 94        
.bin                 | 92        
.class               | 91        
.cmd                 | 86        
.rst                 | 84        
.nfo                 | 83        
.less                | 83        
.tpl                 | 82        
.tmp                 | 78        
.pptx                | 75        
.ico                 | 74        
.bat                 | 71        
.eps                 | 71        
.s                   | 70        
.woff                | 69        
.mpg                 | 69        
.cfg                 | 67        
.graphml             | 67        
.jpi                 | 66        
.iso                 | 65        
.pl                  | 61        
.trashinfo           | 60        
.msi                 | 60        
.amr                 | 60        
.aae                 | 60        
.8                   | 57        
.azw                 | 56        
.cpp                 | 54        
.opus                | 54        
.manifest            | 54        
.eot                 | 53        
.out                 | 53        
.xls                 | 52        
.toml                | 51        
.wav                 | 51        
.tmpl                | 50        
.template            | 49        
.pxd                 | 48        
.hdr                 | 47        
.swf                 | 46        
.lock                | 45        
.model               | 45        
.iss                 | 45        
.jsm                 | 45        
.mod                 | 43        
.rds                 | 42        
.0                   | 41        
.tsx                 | 40        
.ipynb               | 40        
.markdown            | 39        
.tar                 | 38        
.inx                 | 38        
.schema              | 37        
.thumbnail           | 37        
.axd                 | 37        
.tex                 | 36        
.cache               | 35        
.jinja               | 35        
.crc                 | 35        
.woff2               | 35        
.virtualenv          | 35        
.fot                 | 34        
.xsl                 | 33        
.ibt                 | 33        
.sql                 | 31        
.mpeg                | 31        
.bak                 | 31        
.jsx                 | 31        
.parquet             | 30        
.1                   | 29        
.prefs               | 29        
.sum                 | 27        
.mht                 | 27        
.prc                 | 27        
.cpa                 | 27        
.wma                 | 27        
.resx                | 27        
.zpln                | 26        
.py-tpl              | 26        
.adml                | 26        
.wmv                 | 25        
.j2                  | 25        
.crt                 | 24        
.rul                 | 24        
.adm                 | 24        
.7z                  | 23        
.lightdb             | 23        
.map                 | 22        
.hbs                 | 22        
.cmod                | 22        
.pdb                 | 22        
.r00                 | 21        
.r01                 | 21        
.r02                 | 21        
.9                   | 21        
.xhtml               | 21        
.r03                 | 20        
.r04                 | 20        
.cshtml              | 20        
.ssp                 | 20        
.pm                  | 20        
.r05                 | 19        
.pot                 | 19        
.oem                 | 19        
.r06                 | 18        
.r07                 | 18        
.r08                 | 18        
.r09                 | 18        
.3                   | 18        
.opf                 | 18        
.spb                 | 18        
.asp                 | 18        
.orc                 | 17        
.torrent             | 17        
.lnk                 | 17        
.sqlite3             | 17        
.wml                 | 17        
.r10                 | 16        
.r11                 | 16        
.r12                 | 16        
.r13                 | 16        
.r14                 | 16        
.r15                 | 16        
.4                   | 16        
.apk                 | 16        
.scssc               | 16        
.sqlite              | 16        
.pth                 | 16        
.content             | 16        
.f90                 | 16        
.cpl                 | 16        
.htaccess            | 16        
.r16                 | 15        
.r17                 | 15        
.r18                 | 15        
.r19                 | 15        
.azw3                | 15        
.key                 | 15        
.ps1                 | 15        
.reg                 | 15        
.stats               | 15        
.psv                 | 15        
.psd                 | 15        
.feature             | 15        
.skn                 | 15        
.workflow            | 14        
.csproj              | 14        
.2                   | 14        
.blang               | 14        
.sln                 | 13        
.raw                 | 13        
.html~               | 13        
.csh                 | 13        
.fish                | 13        
.xsh                 | 13        
.m3u                 | 13        
.txf                 | 13        
.r20                 | 12        
.r21                 | 12        
.sfv                 | 12        
.pck                 | 12        
.snd                 | 12        
.p3d                 | 12        
.voc                 | 12        
.tbl                 | 12        
.com                 | 12        
.fon                 | 12        
.slf                 | 12        
.r22                 | 11        
.r23                 | 11        
.ds_store            | 11        
.avsc                | 11        
.local               | 11        
.gem                 | 11        
.gemspec             | 11        
.old                 | 11        
.xps                 | 11        
.share               | 11        
.r24                 | 10        
.r25                 | 10        
.r26                 | 10        
.rdb                 | 10        
.rdx                 | 10        
.deb                 | 10        
.ttc                 | 10        
.24                  | 10        
.chck                | 10        
.r27                 | 9         
.r28                 | 9         
.r29                 | 9         
.djvu                | 9         
.pub                 | 9         
.service             | 9         
.tab                 | 9         
.script              | 9         
.ssc                 | 9         
.efi                 | 9         
.r31                 | 8         
.r32                 | 8         
.r33                 | 8         
.r30                 | 8         
.6                   | 8         
.zone                | 8         
.typed               | 8         
.desktop             | 8         
.vcproj              | 8         
.config              | 8         
.isn                 | 8         
.inc                 | 8         
.r34                 | 7         
.r35                 | 7         
.r36                 | 7         
.r37                 | 7         
.asm                 | 7         
.m                   | 7         
.iwa                 | 7         
.in                  | 7         
.13                  | 7         
.pts                 | 7         
.fp                  | 7         
.if2                 | 7         
.mof                 | 7         
.18                  | 7         
.r38                 | 6         
.img                 | 6         
.tgz                 | 6         
.11                  | 6         
.website             | 6         
.input               | 6         
.iml                 | 6         
.2018-12-08_235501   | 6         
.mayo                | 6         
.dictionary          | 6         
.7                   | 6         
.3ds                 | 6         
.cgi                 | 6         
.dos                 | 6         
.x                   | 6         
.9-55-2007-prv8      | 6         
.rdf                 | 6         
.r39                 | 5         
.r40                 | 5         
.r41                 | 5         
.r42                 | 5         
.r43                 | 5         
.r44                 | 5         
.r45                 | 5         
.jq                  | 5         
.avro                | 5         
.10                  | 5         
.odt                 | 5         
.policy              | 5         
.streamdb            | 5         
.crl                 | 5         
.5                   | 5         
.bsd                 | 5         
.htc                 | 5         
.pickle              | 5         
.mhtml               | 5         
.dist                | 5         
.cnf                 | 5         
.stc                 | 5         
.ins                 | 5         
.msu                 | 5         
.lan                 | 5         
.ldi                 | 5         
.aspx                | 5         
.20                  | 5         
.r46                 | 4         
.r47                 | 4         
.r48                 | 4         
.zi                  | 4         
.pug                 | 4         
.cpu                 | 4         
.gpu                 | 4         
.21                  | 4         
.mdb                 | 4         
.ext                 | 4         
.swp                 | 4         
.conf-gls            | 4         
.lst                 | 4         
.code-workspace      | 4         
.uml                 | 4         
.emb                 | 4         
.apache              | 4         
.docs                | 4         
.enc                 | 4         
.golden              | 4         
.bzl                 | 4         
.kml                 | 4         
.sol                 | 4         
.webmanifest         | 4         
.bak2                | 4         
.bib                 | 4         
.loaded_0            | 4         
.xcf                 | 4         
.dblwr               | 4         
.csm                 | 4         
.tag                 | 4         
.npy                 | 4         
.bz2                 | 4         
.sgml                | 4         
.exe_                | 4         
.aspx_               | 4         
.asp_                | 4         
.jsp_                | 4         
.php_                | 4         
.ocx                 | 4         
.mlf                 | 4         
.ex_                 | 4         
.man                 | 4         
.nif                 | 4         
.msc                 | 4         
.34                  | 4         
.23=2008             | 4         
.loaded0             | 4         
.touch               | 4         
.start               | 4         
.r49                 | 3         
.r50                 | 3         
.r51                 | 3         
.r52                 | 3         
.mp                  | 3         
.plist               | 3         
.buildinfo           | 3         
.keywords            | 3         
.12                  | 3         
.xsd                 | 3         
.mpo                 | 3         
.aac                 | 3         
.l                   | 3         
.o                   | 3         
.pre-oh-my-zsh       | 3         
.kbx                 | 3         
.gpg                 | 3         
.hcl                 | 3         
.xpi                 | 3         
.jpeg_original       | 3         
.gen                 | 3         
.fdt                 | 3         
.fdx                 | 3         
.fnm                 | 3         
.frq                 | 3         
.nrm                 | 3         
.prx                 | 3         
.tii                 | 3         
.tis                 | 3         
.tvd                 | 3         
.tvf                 | 3         
.tvx                 | 3         
.hsql                | 3         
.backup              | 3         
.windows             | 3         
.prp                 | 3         
.jsp                 | 3         
.ldif                | 3         
.xap                 | 3         
.retry               | 3         
.xz                  | 3         
.diz                 | 3         
.lesser              | 3         
.pyx                 | 3         
.cel                 | 3         
.xyz                 | 3         
.cms                 | 3         
.asc                 | 3         
.afm                 | 3         
.fog                 | 3         
.lid                 | 3         
.xspf                | 3         
.13_17_2_2005        | 3         
.x_logrotate_2031    | 3         
.6_localroot         | 3         
.22                  | 3         
.bdic                | 3         
.0&source=uds-vbw    | 3         
.xml&up_source_language=en&w=160&h=60&title=&border=&output=js | 3         
.media               | 3         
.jad                 | 3         
.chk                 | 3         
.16                  | 3         
.r53                 | 2         
.r54                 | 2         
.r55                 | 2         
.r56                 | 2         
.r57                 | 2         
.r58                 | 2         
.r59                 | 2         
.r60                 | 2         
.r61                 | 2         
.r62                 | 2         
.r63                 | 2         
.r64                 | 2         
.r65                 | 2         
.r66                 | 2         
.r67                 | 2         
.r68                 | 2         
.r69                 | 2         
.yapf                | 2         
.rmd                 | 2         
.cql                 | 2         
.dylib               | 2         
.thrift              | 2         
.arw                 | 2         
.hct                 | 2         
.101                 | 2         
.254                 | 2         
.allow-gls           | 2         
.conf-glsorig        | 2         
.include             | 2         
.cer                 | 2         
.idl                 | 2         
.$$$                 | 2         
.drawio              | 2         
.wad                 | 2         
.vdf                 | 2         
.myconfig            | 2         
.trace               | 2         
.kbx~                | 2         
.ovf                 | 2         
.vmdk                | 2         
.output              | 2         
.sec                 | 2         
.vim                 | 2         
.license             | 2         
.code                | 2         
.ttar                | 2         
.libyaml             | 2         
.python              | 2         
.whl                 | 2         
.component           | 2         
.container           | 2         
.name                | 2         
.mf                  | 2         
.sty                 | 2         
.urllib3             | 2         
.dwg                 | 2         
.cue                 | 2         
.000010              | 2         
.index               | 2         
.numbers             | 2         
.rng                 | 2         
.a                   | 2         
.f                   | 2         
.npz                 | 2         
.pxi                 | 2         
.box                 | 2         
.izri                | 2         
.id                  | 2         
.scf                 | 2         
.cif                 | 2         
.rpm                 | 2         
.mib                 | 2         
